"Model","Type","OutOfSample","Gini_train","Gini_test","Calib_train","Calib_test"
"Homogeneous","GLM",33.86149,0.0057,-0.1075,1,0.9626
"GLM1 (benchmark)","GLM",32.17123,0.297,0.284,1,0.9613
"GLM4 (interactions)","GLM",31.75175,0.3101,0.2988,1,0.9602
"GLM5 (splines)","GLM",32.11724,0.3076,0.289,1,0.9609
"GLM6 (splines+interact)","GLM",31.69601,0.3201,0.3027,1,0.9598
"GLM7 (polynomials)","GLM",32.23949,0.292,0.2765,1,0.9623
"GLM8 (optimised)","GLM",31.69702,0.3201,0.3026,1,0.9598
"GLM9 (3-way)","GLM",31.65337,0.3219,0.3049,1,0.96
"Lasso (lambda.min)","Regularised",31.65122,0.3217,0.3054,1,0.9557
"Lasso (lambda.1se)","Regularised",31.74811,0.312,0.2968,1,0.9557
"Ridge (lambda.min)","Regularised",31.67082,0.3213,0.3042,1,0.9557
"Ridge (lambda.1se)","Regularised",31.75922,0.3175,0.3004,1,0.9563
"Elastic Net (lambda.min)","Regularised",31.65236,0.3216,0.3053,1,0.9557
"Elastic Net (lambda.1se)","Regularised",31.74734,0.3127,0.2973,1,0.9557
