"Interaction","AIC","AIC_drop","pvalue","n_extra_params"
"VehAgeGLM:VehBrand",251773,1289,1.62e-269,20
"VehAgeGLM:VehGas",252289,773,1.96e-169,2
"VehPowerGLM:VehAgeGLM",252690,372,5.03e-78,10
"BonusMalusGLM:VehBrand",252777,284,1.81e-59,10
"VehAgeGLM:Region",252814,248,9.45e-47,42
"VehBrand:VehGas",252837,224,8.3e-47,10
"VehPowerGLM:VehBrand",252861,200,1.93e-37,50
"VehAgeGLM:BonusMalusGLM",252920,141,2.66e-32,2
"VehAgeGLM:DrivAgeGLM",252982,80,8.72e-17,12
"BonusMalusGLM:Region",252990,72,9.82e-15,21
"DrivAgeGLM:BonusMalusGLM",252991,71,9.31e-16,6
"VehGas:Region",252997,65,1.9e-13,21
"DrivAgeGLM:VehBrand",253007,55,3.6e-13,60
"VehPowerGLM:DrivAgeGLM",253009,53,1.6e-11,30
"DrivAgeGLM:Region",253011,51,1.33e-16,126
"VehPowerGLM:VehGas",253025,36,7.31e-09,5
"DrivAgeGLM:DensityGLM",253026,36,1.23e-08,6
"DrivAgeGLM:AreaGLM",253028,34,3.32e-08,6
"VehPowerGLM:BonusMalusGLM",253032,30,1.6e-07,5
"VehBrand:DensityGLM",253036,25,1.9e-06,10
"VehBrand:AreaGLM",253041,21,1.28e-05,10
"BonusMalusGLM:DensityGLM",253044,17,1.02e-05,1
"BonusMalusGLM:AreaGLM",253045,17,1.19e-05,1
"DensityGLM:Region",253052,10,0.000179,21
"VehAgeGLM:DensityGLM",253056,6,0.0078,2
"Region:AreaGLM",253055,6,0.00062,21
"VehAgeGLM:AreaGLM",253059,3,0.0288,2
"BonusMalusGLM:VehGas",253059,2,0.0391,1
"DensityGLM:AreaGLM",253061,1,0.0806,1
"VehGas:DensityGLM",253064,-2,0.993,1
"VehGas:AreaGLM",253064,-2,0.64,1
"VehPowerGLM:AreaGLM",253066,-4,0.328,5
"VehPowerGLM:DensityGLM",253066,-5,0.376,5
"VehPowerGLM:Region",253067,-5,2.03e-08,105
"DrivAgeGLM:VehGas",253066,-5,0.283,6
"VehBrand:Region",253132,-70,4.56e-09,210
